legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
9e97b28d,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Prestataires,true,true,in_clean_bundle
9f12dd21,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
9fc6e702,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
9fea8c0e,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a0111038,Prestataires,false,false,missing_from_main_source
a0fddb84,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a164d04c,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a1a9fa58,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a21cf197,Prestataires,false,false,missing_from_main_source
a2266a5b,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a24cc0db,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a2517f5d,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
a311fc46,Berta 2.0 - Berta 2.0 (3).csv|CRM|D_Durable|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a4fe2628,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
a578f9ca,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
