source,legacy_id,reason,name,category,subcategory
Berta 2.0 - Berta 2.0 (3).csv,recqqYy1KnXoVFHaO,category_arbitration_required,Le Cabaret Pat'Jaune ,Divertissement,Théâtre ou salle de spectacle
Berta 2.0 - Berta 2.0 (3).csv,recpQwmcO83qNQAtR,missing_category,Réunion Boutik,,
Berta 2.0 - Berta 2.0 (3).csv,8d37b1bb,activity_or_site_arbitration_required,Mira Céramik Art,Terre,salle d'exposition ; Atelier poterie et céramique
Berta 2.0 - Berta 2.0 (3).csv,402cda71,activity_or_site_arbitration_required,Mobilboard,Terre,Segway
Berta 2.0 - Berta 2.0 (3).csv,4ca65b6f,category_arbitration_required,Les Ateliers Péï,Divertissement,atelier
Berta 2.0 - Berta 2.0 (3).csv,37c89345,category_arbitration_required,La Gourmandise des Moches,Divertissement,atelier
Berta 2.0 - Berta 2.0 (3).csv,403a832a,category_arbitration_required,Les Synergies d'Amandine,Patrimoine naturel,Art & Artisanat
Berta 2.0 - Berta 2.0 (3).csv,d42800d8,category_arbitration_required,ISDrawing 97430,Divertissement,Dessin
Berta 2.0 - Berta 2.0 (3).csv,b5309448,category_arbitration_required,RODBIKELOC,Divertissement,V.T.T. - Autres cycles
Berta 2.0 - Berta 2.0 (3).csv,1c92c8fa,category_arbitration_required,Entre Fleurs et Plantes,Patrimoine naturel,Horticulture
Berta 2.0 - Berta 2.0 (3).csv,352ab9ee,category_arbitration_required,GAMIKIT,Divertissement,atelier
