import_batch_id,staging_object_key,kind_code,unit_code,amount,currency,conditions,source,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,recxNoi9kbaEno5Up,adulte,par_nuit,135.00,EUR,chambre double avec petit déjeuner/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""1f1453a5"",""Object_id"":""recxNoi9kbaEno5Up"",""Description"":"""",""Tarif Montant"":""135"",""Tarif libellé"":""chambre double avec petit déjeuner/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec32hF9oHx4POksO,adulte,,50.00,EUR,chambre simple,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""0fed1234"",""Object_id"":""rec32hF9oHx4POksO"",""Description"":"""",""Tarif Montant"":""50"",""Tarif libellé"":""chambre simple"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec32hF9oHx4POksO,adulte,,50.00,EUR,chambre double,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""41758127"",""Object_id"":""rec32hF9oHx4POksO"",""Description"":"""",""Tarif Montant"":""50"",""Tarif libellé"":""chambre double"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec32hF9oHx4POksO,adulte,par_personne,25.00,EUR,Repas | pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""386f0c7d"",""Object_id"":""rec32hF9oHx4POksO"",""Description"":""Repas"",""Tarif Montant"":""25"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recZx01uZHg0R4TGL,adulte,par_personne_nuit,5.00,EUR,Au delà de 4 personnes | pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""9d656eb3"",""Object_id"":""recZx01uZHg0R4TGL"",""Description"":""Au delà de 4 personnes"",""Tarif Montant"":""5"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recZx01uZHg0R4TGL,adulte,par_nuit,120.00,EUR,À partir de | 4 pers plus 20€ linge de maison | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""b421c50c"",""Object_id"":""recZx01uZHg0R4TGL"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""120"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recZx01uZHg0R4TGL,adulte,par_semaine,450.00,EUR,À partir de | 4 pers plus 20€ linge de maison | semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""33571828"",""Object_id"":""recZx01uZHg0R4TGL"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""450"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recZx01uZHg0R4TGL,adulte,par_sejour,200.00,EUR,À partir de | 4 pers plus 20€ linge de maison | week-end,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""7fa68df4"",""Object_id"":""recZx01uZHg0R4TGL"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""200"",""Tarif libellé"":""week-end"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recF7jALDXSn1wIxA,adulte,par_personne_nuit,5.00,EUR,Au delà de 4 personnes | pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""fbb9a9ee"",""Object_id"":""recF7jALDXSn1wIxA"",""Description"":""Au delà de 4 personnes"",""Tarif Montant"":""5"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recF7jALDXSn1wIxA,adulte,par_semaine,450.00,EUR,À partir de | 4 pers plus 20€ linge de maison | semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""f72cc479"",""Object_id"":""recF7jALDXSn1wIxA"",""Description"":""4 pers plus 20€ linge de maison"",""Tarif Montant"":""450"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
