import_batch_id,staging_object_key,action_id,note,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,rec5Xr38CzqCc6d1f,MA_COMMON_BINS,tri / orientation zéro déchets,D_Durable,"{""ID_D_D"":""6c2bfabb"",""Object_id"":""rec5Xr38CzqCc6d1f"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""tri / orientation zéro déchets"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5Xr38CzqCc6d1f,MA_MONTHLY_ENERGY_READING,Autonomie énergétique / panneaux photovoltaïques,D_Durable,"{""ID_D_D"":""14edf03d"",""Object_id"":""rec5Xr38CzqCc6d1f"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Autonomie énergétique / panneaux photovoltaïques"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5Xr38CzqCc6d1f,MA_WATERLESS_URINALS,Toilettes sèches,D_Durable,"{""ID_D_D"":""120b383b"",""Object_id"":""rec5Xr38CzqCc6d1f"",""Type_D_D"":""Assainissement Durable"",""Commentaire"":""Toilettes sèches"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5Xr38CzqCc6d1f,MA_WATER_READING,Récupération de l'eau de pluie,D_Durable,"{""ID_D_D"":""a35eb637"",""Object_id"":""rec5Xr38CzqCc6d1f"",""Type_D_D"":""Gestion de l'eau"",""Commentaire"":""Récupération de l'eau de pluie"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,96b0af71,MA_ORGANIC_PRODUCTS,Cuisine avec pdts bio et locaux,D_Durable,"{""ID_D_D"":""c2851993"",""Object_id"":""96b0af71"",""Type_D_D"":""Produits labellisés bio"",""Commentaire"":""Cuisine avec pdts bio et locaux"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,96b0af71,MA_COMMON_BINS,Tri effectué par les hébergeurs,D_Durable,"{""ID_D_D"":""ce641f36"",""Object_id"":""96b0af71"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Tri effectué par les hébergeurs"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,96b0af71,MA_MONTHLY_ENERGY_READING,Éclairage LED et solaire,D_Durable,"{""ID_D_D"":""2d46430d"",""Object_id"":""96b0af71"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Éclairage LED et solaire"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,96b0af71,MA_WATER_READING,"Recuperation eau de pluie une citerne pr le jardin, piscine, jacuzzi",D_Durable,"{""ID_D_D"":""8af361f6"",""Object_id"":""96b0af71"",""Type_D_D"":""Gestion de l'eau"",""Commentaire"":""Recuperation eau de pluie une citerne pr le jardin, piscine, jacuzzi"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,MA_COMMON_BINS,Tri des déchets proposé aux clients.,D_Durable,"{""ID_D_D"":""5d1878cd"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Tri des déchets proposé aux clients."",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,MA_WATER_READING,"L’hôtel est équipé des équipements sanitaires les plus récents, incluant notamment des mousseurs et des robinets avec cran économiseur d’eau à double position, qui permettent de limiter le débit et donc la consommation. Les WC sont équipés de la même manière de chasse-d ’eau à double poussoir.",D_Durable,"{""ID_D_D"":""c8cde98a"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Gestion de l'eau"",""Commentaire"":""L’hôtel est équipé des équipements sanitaires les plus récents, incluant notamment des mousseurs et des robinets avec cran économiseur d’eau à double position, qui permettent de limiter le débit et donc la consommation. Les WC sont équipés de la même manière de chasse-d ’eau à double poussoir."",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,MA_MONTHLY_ENERGY_READING,"Réduction de la consommation électrique (pas de télévision dans les chambres, éclairage extérieur avec détecteur de présence)",D_Durable,"{""ID_D_D"":""d53322b2"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Gestion de l'énergie"",""Commentaire"":""Réduction de la consommation électrique (pas de télévision dans les chambres, éclairage extérieur avec détecteur de présence)"",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,rec5vqdPwSdrFzsvs,MA_BIODIVERSITY_AWARENESS,"Le végétal fait partie intégrante de la stratégie environnementale du projet du Dimitile. Le projet paysager met en valeur les espèces endémiques et la biodiversité du site : les plus gros sujets ont d’ailleurs été déplantés, mis en nourrice, puis replantés à l’issue des travaux.",D_Durable,"{""ID_D_D"":""f80621a1"",""Object_id"":""rec5vqdPwSdrFzsvs"",""Type_D_D"":""Préservation de la biodiversité"",""Commentaire"":""Le végétal fait partie intégrante de la stratégie environnementale du projet du Dimitile. Le projet paysager met en valeur les espèces endémiques et la biodiversité du site : les plus gros sujets ont d’ailleurs été déplantés, mis en nourrice, puis replantés à l’issue des travaux."",""source_system"":""berta_v2_csv_export""}",review_required,false
old-data-berta2-all-20260501-01,022C4A9B1C,MA_COMMON_BINS,Suppression des consommables à usage unique et l’élimination des emballages plastiques.,D_Durable,"{""ID_D_D"":""2f23e26f"",""Object_id"":""022C4A9B1C"",""Type_D_D"":""Gestion des déchets"",""Commentaire"":""Suppression des consommables à usage unique et l’élimination des emballages plastiques."",""source_system"":""berta_v2_csv_export""}",review_required,false
