ID_D_D,Object_id,Type_D_D,Commentaire
"341fee0c,rec5vqdPwSdrFzsvs,Soutien associatif,""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."""
"bad6635c,022C4A9B1C,Soutien associatif,""Le groupe AMANTA, dont fait partie Le Dimitile, est membre du mouvement 1% pour la planète et reverse ainsi 1% de son chiffre d’affaires à des fins environnementales."""
795cf17d,97c59f68,Gestion de l'eau,L’hôtel utilise des équipements sanitaires économes en eau et une couverture automatique pour la piscine afin de limiter les pertes thermiques et l’évaporation. Le chauffage de la piscine est assuré par une pompe à chaleur.
8150c3bc,recd0bjcfRVLbyOCv,borne électrique (recharge VTT ou véhicule),
"fd789863,recd0bjcfRVLbyOCv,Gestion des déchets,""Composte, panier gourmand anti-gaspillage"""
"e975ad12,recd0bjcfRVLbyOCv,Gestion de l'énergie,""Chauffe-Eau Solaire, éclairage extérieur solaire et led dans l'hôtel"""
daf8db3e,f1649a3c,Upcycling,crée des bijoux ou des produits à partir d'anciens produits qui ne peuvent plus être utilisés
96106716,37c89345,Produits labellisés bio,utilisation de produits bio pour réaliser ses confitures et autres produits transformés
6dcf8eb9,37c89345,recyclage des végétaux,produits en zéro déchets
fd4cc737,37c89345,Gestion des déchets,produits zéro déchets + ateliers
a36b4556,37c89345,Produits en circuit court,travaille avec les agriculteurs et artisans locaux
52387810,37c89345,Soutien associatif,réinsertion professionnelle des personnes en difficultés et propose des ateliers à prix réduit pour les associations (maladies chroniques par ex...)
ea73206e,37c89345,Upcycling,réutilisation de tissus et pots pour ses produits
65f9f55d,99434ac2,Upcycling,Recyclage de papier
12fdbe56,38bee07f,Gestion de l'énergie,Chauffe-eau solaire
3e7cae51,38bee07f,Gestion des déchets,Tri sélectif
06ba2d88,9a8f7c6d,Gestion des déchets,Compostage et poulailler (déchets alimentaires)
61d500c5,9a8f7c6d,Gestion des déchets,Tri sélectif
e34d56c9,9a8f7c6d,recyclage des végétaux,compostage
0abb4bd6,9a8f7c6d,Produits en circuit court,choix de fournisseurs locaux dès que possible et produits péi
6fc4568f,38bee07f,recyclage des végétaux,compostage
"41884c4e,a311fc46,Gestion des déchets,""Tri des déchets disponible dans la maison : compost, verre, poubelle jaune"""
b8723b14,a311fc46,Sensibilisation de la clientèle,dispose d'un livret d'accueil avec des éléments de sensibilisation à la protection de l'environnement
f96edc5e,a311fc46,Gestion de l'énergie,Panneaux photovoltaïque et chauffe eau solaire
"d0ba7bc0,a311fc46,Gestion de l'eau,""Récupération de l'eau de pluie pour le jardin, chasse d'eau éco, cuisine équipée de robinet à double débit"""
"5fcedc8d,a311fc46,Produits labellisés bio,""Produits bio à dispo des clients : produit vaisselle et lave-vaisselle, produits ménagers, savon bio"""
"54b9c9ab,a311fc46,Gestion de l'énergie,""Pas de climatiseurs, la structure dispose de brasseurs d'air"""
