Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
62254b0b,bf08aa73,à partir de 2 nuits,400,bungalow/semaine,,
a98962b4,6da7bb3a,Pour 6 personnes,546,semaine,,À partir de
984b20aa,03541d5a,,39,produit/pers.,,
52a6b877,recijAQ80kP0c42bK,,,,,
5bf7dcf6,6e009b41,,29,produit,,À partir de
60ccba73,8acd55dc,,30,pers./nuit,,À partir de
410c4163,302f8ece,pour 10 personnes,550,week-end,,À partir de
b96d1b55,06CCA673EC,Visite guidée,3,pers.,,
7af02af5,443fd2ae,pour 8 personnes,250,nuit,,
a1af35ea,4b149ed5,,12,produit/pers.,,
fa5f4936,ceb8cd51,,30,produit/pers.,,
b9140af4,a4fe2628,4 personnes,150,bungalow,,
8f52d8e9,recBHofXS36EJHBsE,à partir de 5 nuits,45,nuit,,
36c532cc,recs82ArpkH5fQU1c,,90,chambre double/nuit,,
924e784f,reciRau4N0LIOVTld,stage,180,,,À partir de
b6be5901,ad15bd02,,980,semaine,,
d8899cf6,1b807167,Pour 6 personnes,18,,,
27fd600a,01ebf129,demi-journée,49,produit,,À partir de
7ecca7cd,recXXhBx8iC8nShoV,,65,chambre double avec petit déjeuner,,
b6d9e977,b74aa3f4,basse saison,200,bungalow/nuit,,
955d1a2b,recjlkTcYHia3cCFI,,28,pers.,,
86efaa6f,330969dc,,840,week-end,,
b906370f,02d1cc38,,60,chambre double avec petit déjeuner,,
245d8400,69f746b8,,20,repas/produit,,
11e2e0c6,recsuYv0MT8JWatmt,,65,pers.,,À partir de
bcb7cc55,recaPQdy6VVmodk5M,,18,pers.,,À partir de
a7b72292,recFdQEKlRXOW6IiR,,,,,
2f3b9df0,recEt9TvXlcLiFND3,,7,,,À partir de
d859f4e7,rec2BIu67CJ4cBooH,,6,,,À partir de
b728972d,rec4A2lhrwooZI0L8,,5,,,
6fc6fc9e,recqBcYJ6lKQoE6Q1,,,,,
88fa5884,recBETKNEHdD0q8d5,,20,pers.,,
9524d471,recMgWQrTWMVok83m,,50,pers.,,À partir de
6c489472,recSjqfh5cXc6yUFr,Adulte et enfant,20,nuit,,
82b30adc,reczymm7ROmf2vP4K,,57,,,À partir de
70b4ae5b,4c781fa8,,60,pers.,,
44f30527,rec9UKLC1tbTq5AxG,,,,,
01e0fc17,a7ac4b90,par nuit,45,pers./nuit,,À partir de
05f1fac8,recVMxK2n2g0JqxYW,,35,chambre double/pers./nuit,,
54f14336,recVMxK2n2g0JqxYW,,40,chambre double avec petit déjeuner/pers./nuit,,
5449aca2,rec5Xr38CzqCc6d1f,par nuit,35,pers.,,
3d66e0de,rec5Xr38CzqCc6d1f,Repas,20,,,À partir de
"92e303db,recxXRG93JqXCrVZr,,""6,5"",repas/pers.,,À partir de"
ab6fac2e,recITvrU1rCT4eguQ,,7,,,À partir de
"8a59334c,reca5pLJzSFX1LfB0,,""2,5"",,,À partir de"
5f698947,recyNTh7vGAYgzmHO,,35,pers.,,
14f28459,recUJhNJJKosGUk1J,enfant jusqu'à 10 ans,15,nuit,,À partir de
,,,,,,
,,,,,,
ab305c28,90a3622d,,10,,,À partir de
47ff4428,759d38b7,8 personnes,37,bungalow/nuit,,À partir de
8b9b83bb,759d38b7,4 personnes,28,bungalow/nuit,,À partir de
8c1f5be1,b76340fd,,120,nuit,,À partir de
