feed,scope,collection,name,type,declared,observed,count,non_empty,empty,coverage_pct
decouverte,relation,ClassificationSousCategorieArts,ID,Edm.Int64,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,Ordre,Edm.Int64,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,SyndicObjectId,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,ThesCode,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,ThesID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,ThesLibelle,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,ThesOrdre,Edm.Int32,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategorieArts,ThesPicto,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ID,Edm.Int64,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,Ordre,Edm.Int64,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,SyndicObjectId,Edm.String,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ThesCode,Edm.String,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ThesID,Edm.Guid,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ThesLibelle,Edm.String,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ThesOrdre,Edm.Int64,True,True,8,8,0,100.0
decouverte,relation,ClassificationSousCategoriePatAgricoles,ThesPicto,Edm.String,True,True,8,0,8,0.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ID,Edm.Int64,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,Ordre,Edm.Int64,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,SyndicObjectId,Edm.String,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ThesCode,Edm.String,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ThesID,Edm.Guid,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ThesLibelle,Edm.String,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ThesOrdre,Edm.Int64,True,True,14,14,0,100.0
decouverte,relation,ClassificationSousCategoriePatCulturels,ThesPicto,Edm.String,True,True,14,0,14,0.0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ID,Edm.Int64,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,Ordre,Edm.Int64,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,SyndicObjectId,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ThesCode,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ThesID,Edm.Guid,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ThesLibelle,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ThesOrdre,Edm.Int32,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatIndustriels,ThesPicto,Edm.String,True,False,0,0,0,0
decouverte,relation,ClassificationSousCategoriePatNaturels,ID,Edm.Int64,True,True,1,1,0,100.0
decouverte,relation,ClassificationSousCategoriePatNaturels,Ordre,Edm.Int64,True,True,1,1,0,100.0
