feed,path,scope,collection,name,edm_type,declared,observed,observed_count,non_empty_count,empty_count,coverage_pct,present_in_feed_count,reuse_class,coverage_status,mapping_status,evidence
decouverte,object.SyndicStructureId,object,,SyndicStructureId,Edm.Guid,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.TIS_TRACKING_LISTING_OFFRE,object,,TIS_TRACKING_LISTING_OFFRE,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.TIS_TRACKING_OFFRE,object,,TIS_TRACKING_OFFRE,Edm.String,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,object.Updated,object,,Updated,Edm.DateTime,True,True,49,49,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Animauxs.Animauxacceptes,relation,Animauxs,Animauxacceptes,Edm.Boolean,True,True,3,1,2,33.3,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Animauxs.Complementdinformations,relation,Animauxs,Complementdinformations,Edm.String,True,True,3,0,3,0.0,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Animauxs.ID,relation,Animauxs,ID,Edm.Int64,True,True,3,3,0,100.0,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Animauxs.Ordre,relation,Animauxs,Ordre,Edm.Int64,True,True,3,3,0,100.0,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Animauxs.SyndicObjectId,relation,Animauxs,SyndicObjectId,Edm.String,True,True,3,3,0,100.0,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Capacites.Capacite,relation,Capacites,Capacite,Edm.Double,True,True,3,2,1,66.7,2,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Capacites.ID,relation,Capacites,ID,Edm.Int64,True,True,3,3,0,100.0,4,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Capacites.Ordre,relation,Capacites,Ordre,Edm.Int64,True,True,3,3,0,100.0,4,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Capacites.SyndicObjectId,relation,Capacites,SyndicObjectId,Edm.String,True,True,3,3,0,100.0,4,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe,relation,Chaines,Groupe,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,3,0,3,0.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe.ThesCode,relation,Chaines,Groupe.ThesCode,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe.ThesID,relation,Chaines,Groupe.ThesID,Edm.Guid,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe.ThesLibelle,relation,Chaines,Groupe.ThesLibelle,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe.ThesOrdre,relation,Chaines,Groupe.ThesOrdre,Edm.Int32,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Groupe.ThesPicto,relation,Chaines,Groupe.ThesPicto,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Chaines.ID,relation,Chaines,ID,Edm.Int64,True,True,3,3,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Ordre,relation,Chaines,Ordre,Edm.Int64,True,True,3,3,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Reseaux,relation,Chaines,Reseaux,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,3,0,3,0.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Chaines.Reseaux.ThesCode,relation,Chaines,Reseaux.ThesCode,Edm.String,True,False,0,0,0,0,5,shared,declared_unobserved,unclassified,source-schemas/decouverte.json
