schema,table_name,policy_name,command,permissive,roles,qual,with_check
public,ref_code_environment_tag,Écriture admin des tags d'environnement,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_code_event_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_event_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_feedback_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_feedback_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_incident_category,admin_incident_category_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_incident_category,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_incident_category,pub_incident_category_read,SELECT,PERMISSIVE,public,true,
public,ref_code_incident_category,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_insurance_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_insurance_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_iti_practice,Lecture publique des pratiques ITI,SELECT,PERMISSIVE,public,true,
public,ref_code_iti_practice,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_iti_practice,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_language_level,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_language_level,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_media_tag,Lecture publique des tags média,SELECT,PERMISSIVE,public,true,
public,ref_code_media_tag,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_media_tag,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_media_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_media_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_meeting_equipment,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_meeting_equipment,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_membership_campaign,admin_membership_campaign_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_membership_campaign,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_membership_campaign,pub_membership_campaign_read,SELECT,PERMISSIVE,public,true,
public,ref_code_membership_campaign,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_membership_tier,admin_membership_tier_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_membership_tier,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_membership_tier,pub_membership_tier_read,SELECT,PERMISSIVE,public,true,
public,ref_code_membership_tier,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_menu_category,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_menu_category,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_mood,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_mood,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_opening_schedule_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_opening_schedule_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_other,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_other,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_package_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_package_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_partnership_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_partnership_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_payment_method,Lecture publique des moyens de paiement,SELECT,PERMISSIVE,public,true,
public,ref_code_payment_method,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_payment_method,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_payment_method,Écriture admin des moyens de paiement,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_code_price_kind,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_price_kind,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_price_unit,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_price_unit,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_promotion_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_promotion_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_room_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_room_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_season_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_season_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_service_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_service_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_social_network,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_social_network,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_taxonomy_closure,Lecture publique de la clôture taxonomique,SELECT,PERMISSIVE,public,true,
public,ref_code_tourism_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_tourism_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_transport_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_transport_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_view_type,Lecture publique des types de vue,SELECT,PERMISSIVE,public,true,
public,ref_code_view_type,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_view_type,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_code_view_type,Écriture admin des types de vue,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_code_weekday,admin_ref_code_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_code_weekday,pub_ref_code_read,SELECT,PERMISSIVE,public,true,
public,ref_contact_role,admin_contact_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_contact_role,pub_contact_role_read,SELECT,PERMISSIVE,public,true,
public,ref_document,Lecture publique des documents de référence,SELECT,PERMISSIVE,public,true,
public,ref_document,Écriture admin des documents de référence,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_iti_assoc_role,Lecture publique des rôles ITI,SELECT,PERMISSIVE,public,true,
public,ref_language,Lecture publique des langues,SELECT,PERMISSIVE,public,true,
public,ref_language,Écriture admin des langues,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_legal_type,admin_legal_type_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_legal_type,pub_legal_type_read,SELECT,PERMISSIVE,public,true,
public,ref_object_relation_type,admin_object_relation_type_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_object_relation_type,pub_object_relation_type_read,SELECT,PERMISSIVE,public,true,
public,ref_org_admin_role,admin_ref_org_admin_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,ref_org_admin_role,authed_ref_org_admin_role_read,SELECT,PERMISSIVE,public,"((auth.uid() IS NOT NULL) OR (auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])))",
public,ref_org_business_role,admin_ref_org_business_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,ref_org_business_role,authed_ref_org_business_role_read,SELECT,PERMISSIVE,public,"((auth.uid() IS NOT NULL) OR (auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])))",
public,ref_org_role,Lecture publique des rôles d'organisation,SELECT,PERMISSIVE,public,true,
public,ref_permission,admin_ref_permission_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,ref_permission,authed_ref_permission_read,SELECT,PERMISSIVE,public,"((auth.uid() IS NOT NULL) OR (auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])))",
public,ref_review_source,Lecture publique des sources d'avis,SELECT,PERMISSIVE,public,true,
public,ref_review_source,Écriture admin des sources d'avis,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_sustainability_action,Lecture publique des actions DD,SELECT,PERMISSIVE,public,true,
public,ref_sustainability_action,Écriture admin des actions DD,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_sustainability_action_category,Lecture publique des catégories DD,SELECT,PERMISSIVE,public,true,
public,ref_sustainability_action_category,Écriture admin des catégories DD,ALL,PERMISSIVE,public,"((auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text])) OR api.is_platform_superuser())",
public,ref_tag,admin_tag_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,ref_tag,pub_tag_read,SELECT,PERMISSIVE,public,true,
public,tag_link,admin_tag_link_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))",
public,tag_link,pub_tag_link_read,SELECT,PERMISSIVE,public,true,
public,user_org_admin_role,admin_user_org_admin_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,user_org_admin_role,member_user_org_admin_role_read,SELECT,PERMISSIVE,public,"(api.is_platform_superuser() OR ((is_active = true) AND (EXISTS ( SELECT 1
   FROM user_org_membership m
  WHERE ((m.id = user_org_admin_role.membership_id) AND (m.is_active = true) AND ((m.user_id = auth.uid()) OR (m.org_object_id = api.current_user_org_id())))))))",
public,user_org_business_role,admin_user_org_business_role_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,user_org_business_role,member_user_org_business_role_read,SELECT,PERMISSIVE,public,"(api.is_platform_superuser() OR ((is_active = true) AND (EXISTS ( SELECT 1
   FROM user_org_membership m
  WHERE ((m.id = user_org_business_role.membership_id) AND (m.is_active = true) AND ((m.user_id = auth.uid()) OR (m.org_object_id = api.current_user_org_id())))))))",
public,user_org_membership,admin_user_org_membership_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,user_org_membership,member_user_org_membership_read,SELECT,PERMISSIVE,public,(api.is_platform_superuser() OR ((is_active = true) AND ((user_id = auth.uid()) OR (org_object_id = api.current_user_org_id())))),
public,user_permission,admin_user_permission_write,ALL,PERMISSIVE,public,"(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))","(auth.role() = ANY (ARRAY['service_role'::text, 'admin'::text]))"
public,user_permission,member_user_permission_read,SELECT,PERMISSIVE,public,"(api.is_platform_superuser() OR ((is_active = true) AND (user_id = auth.uid())) OR ((is_active = true) AND (EXISTS ( SELECT 1
   FROM user_org_membership m_target
  WHERE ((m_target.user_id = user_permission.user_id) AND (m_target.is_active = true) AND (m_target.org_object_id = api.current_user_org_id())))) AND (EXISTS ( SELECT 1
   FROM (user_org_membership m_caller
     JOIN user_org_admin_role uar ON (((uar.membership_id = m_caller.id) AND (uar.is_active = true))))
  WHERE ((m_caller.user_id = auth.uid()) AND (m_caller.is_active = true))))))",
