schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
internal,mv_ref_data_json,idx_mv_ref_data_type_id,t,f,f,btree,"CREATE UNIQUE INDEX idx_mv_ref_data_type_id ON internal.mv_ref_data_json USING btree (ref_type, id)"
public,actor,actor_pkey,t,t,f,btree,CREATE UNIQUE INDEX actor_pkey ON public.actor USING btree (id)
public,actor,idx_actor_display_name_normalized_trgm,f,f,f,gin,CREATE INDEX idx_actor_display_name_normalized_trgm ON public.actor USING gin (display_name_normalized gin_trgm_ops)
public,actor,idx_actor_first_name_normalized_trgm,f,f,f,gin,CREATE INDEX idx_actor_first_name_normalized_trgm ON public.actor USING gin (first_name_normalized gin_trgm_ops)
public,actor,idx_actor_last_name_normalized_trgm,f,f,f,gin,CREATE INDEX idx_actor_last_name_normalized_trgm ON public.actor USING gin (last_name_normalized gin_trgm_ops)
public,actor_channel,actor_channel_pkey,t,t,f,btree,CREATE UNIQUE INDEX actor_channel_pkey ON public.actor_channel USING btree (id)
public,actor_channel,uq_actor_channel_primary,t,f,t,btree,"CREATE UNIQUE INDEX uq_actor_channel_primary ON public.actor_channel USING btree (actor_id, kind_id) WHERE is_primary"
public,actor_channel,uq_actor_channel_unique,t,f,f,btree,"CREATE UNIQUE INDEX uq_actor_channel_unique ON public.actor_channel USING btree (actor_id, kind_id, value)"
public,actor_consent,actor_consent_pkey,t,t,f,btree,"CREATE UNIQUE INDEX actor_consent_pkey ON public.actor_consent USING btree (actor_id, channel)"
public,actor_object_role,actor_object_role_pkey,t,t,f,btree,"CREATE UNIQUE INDEX actor_object_role_pkey ON public.actor_object_role USING btree (actor_id, object_id, role_id)"
public,actor_object_role,uq_actor_object_role_primary,t,f,t,btree,"CREATE UNIQUE INDEX uq_actor_object_role_primary ON public.actor_object_role USING btree (object_id, role_id) WHERE is_primary"
public,app_branding_settings,app_branding_settings_pkey,t,t,f,btree,CREATE UNIQUE INDEX app_branding_settings_pkey ON public.app_branding_settings USING btree (setting_key)
public,app_user_profile,app_user_profile_pkey,t,t,f,btree,CREATE UNIQUE INDEX app_user_profile_pkey ON public.app_user_profile USING btree (id)
public,app_user_profile,idx_app_user_profile_locale,f,f,f,btree,CREATE INDEX idx_app_user_profile_locale ON public.app_user_profile USING btree (locale)
public,app_user_profile,idx_app_user_profile_preferences_gin,f,f,f,gin,CREATE INDEX idx_app_user_profile_preferences_gin ON public.app_user_profile USING gin (preferences)
public,app_user_profile,idx_app_user_profile_role,f,f,f,btree,CREATE INDEX idx_app_user_profile_role ON public.app_user_profile USING btree (role)
public,app_user_profile,uq_app_user_profile_actor_id,t,f,t,btree,CREATE UNIQUE INDEX uq_app_user_profile_actor_id ON public.app_user_profile USING btree (actor_id) WHERE (actor_id IS NOT NULL)
public,audit_criteria,audit_criteria_pkey,t,t,f,btree,CREATE UNIQUE INDEX audit_criteria_pkey ON public.audit_criteria USING btree (id)
public,audit_criteria,idx_audit_criteria_template,f,f,f,btree,"CREATE INDEX idx_audit_criteria_template ON public.audit_criteria USING btree (template_id, ""position"")"
public,audit_criteria,uq_audit_criteria_template_code,t,f,f,btree,"CREATE UNIQUE INDEX uq_audit_criteria_template_code ON public.audit_criteria USING btree (template_id, code)"
public,audit_result,audit_result_pkey,t,t,f,btree,"CREATE UNIQUE INDEX audit_result_pkey ON public.audit_result USING btree (session_id, criteria_id)"
public,audit_result,idx_audit_result_session,f,f,f,btree,CREATE INDEX idx_audit_result_session ON public.audit_result USING btree (session_id)
public,audit_session,audit_session_pkey,t,t,f,btree,CREATE UNIQUE INDEX audit_session_pkey ON public.audit_session USING btree (id)
public,audit_session,idx_audit_session_object_status,f,f,f,btree,"CREATE INDEX idx_audit_session_object_status ON public.audit_session USING btree (object_id, status, audit_date DESC)"
public,audit_template,audit_template_pkey,t,t,f,btree,CREATE UNIQUE INDEX audit_template_pkey ON public.audit_template USING btree (id)
public,audit_template,idx_audit_template_scheme_active,f,f,f,btree,"CREATE INDEX idx_audit_template_scheme_active ON public.audit_template USING btree (scheme_id, is_active)"
public,audit_template,uq_audit_template_code,t,f,f,btree,CREATE UNIQUE INDEX uq_audit_template_code ON public.audit_template USING btree (code)
public,audit_template,uq_audit_template_scheme_name,t,f,f,btree,"CREATE UNIQUE INDEX uq_audit_template_scheme_name ON public.audit_template USING btree (scheme_id, name)"
public,contact_channel,contact_channel_object_id_kind_id_value_key,t,f,f,btree,"CREATE UNIQUE INDEX contact_channel_object_id_kind_id_value_key ON public.contact_channel USING btree (object_id, kind_id, value)"
public,contact_channel,contact_channel_pkey,t,t,f,btree,CREATE UNIQUE INDEX contact_channel_pkey ON public.contact_channel USING btree (id)
public,contact_channel,idx_contact_channel_kind_id,f,f,f,btree,CREATE INDEX idx_contact_channel_kind_id ON public.contact_channel USING btree (kind_id)
public,contact_channel,idx_contact_channel_object_id,f,f,f,btree,CREATE INDEX idx_contact_channel_object_id ON public.contact_channel USING btree (object_id)
public,contact_channel,idx_contact_channel_object_kind_id,f,f,f,btree,"CREATE INDEX idx_contact_channel_object_kind_id ON public.contact_channel USING btree (object_id, kind_id)"
public,contact_channel,idx_contact_channel_public,f,f,f,btree,CREATE INDEX idx_contact_channel_public ON public.contact_channel USING btree (is_public)
public,contact_channel,idx_contact_channel_role,f,f,f,btree,CREATE INDEX idx_contact_channel_role ON public.contact_channel USING btree (role_id)
public,contact_channel,idx_contact_channel_value,f,f,f,btree,CREATE INDEX idx_contact_channel_value ON public.contact_channel USING btree (value)
public,contact_channel,uq_contact_primary,t,f,t,btree,"CREATE UNIQUE INDEX uq_contact_primary ON public.contact_channel USING btree (object_id, kind_id) WHERE is_primary"
public,crm_interaction,crm_interaction_pkey,t,t,f,btree,CREATE UNIQUE INDEX crm_interaction_pkey ON public.crm_interaction USING btree (id)
public,crm_task,crm_task_pkey,t,t,f,btree,CREATE UNIQUE INDEX crm_task_pkey ON public.crm_task USING btree (id)
public,crm_task,idx_crm_task_object,f,f,f,btree,CREATE INDEX idx_crm_task_object ON public.crm_task USING btree (object_id)
public,crm_task,idx_crm_task_owner_due,f,f,f,btree,"CREATE INDEX idx_crm_task_owner_due ON public.crm_task USING btree (owner, due_at)"
